,id,elixir,link,name,level1,hitpoints1,damage1,level2,hitpoints2,damage2,level3,hitpoints3,damage3,level4,hitpoints4,damage4,level5,hitpoints5,damage5,level6,hitpoints6,damage6,level7,hitpoints7,damage7,level8,hitpoints8,damage8,level9,hitpoints9,damage9,level10,hitpoints10,damage10,level11,hitpoints11,damage11,level12,hitpoints12,damage12,level13,hitpoints13,damage13,level14,hitpoints14,damage14
0,Skellies,1,https://www.deckshop.pro/card/detail/Skellies,Skeletons,1,32,96,2,35,105,3,38,114,4,42,126,5,46,138,6,51,153,7,56,168,8,61,183,9,67,201,10,74,222,11,81,243,12,89,267,13,98,294,14,108,324
1,IceSpirit,1,https://www.deckshop.pro/card/detail/IceSpirit,Ice Spirit,1,90,43,2,99,47,3,108,52,4,119,57,5,131,62,6,144,68,7,158,75,8,173,82,9,190,91,10,209,100,11,230,110,12,252,120,13,278,132,14,305,145
2,Heal,1,https://www.deckshop.pro/card/detail/Heal,Heal,1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8,0.0,0.0,9,0.0,0.0,10,0.0,0.0,11,0.0,0.0,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0
3,Gobs,2,https://www.deckshop.pro/card/detail/Gobs,Goblins,1,79,141,2,86,153,3,95,168,4,105,186,5,115,204,6,126,225,7,139,246,8,152,270,9,167,297,10,184,327,11,202,360,12,221,396,13,244,435,14,267,477
4,SpearGobs,2,https://www.deckshop.pro/card/detail/SpearGobs,Spear Goblins,1,52,96,2,57,105,3,62,114,4,69,126,5,75,138,6,83,153,7,91,168,8,100,183,9,110,201,10,121,222,11,133,243,12,146,267,13,160,294,14,176,324
5,Zap,2,https://www.deckshop.pro/card/detail/Zap,Zap,1,0,75,2,0,82,3,0,90,4,0,99,5,0,109,6,0,120,7,0,132,8,0,144,9,0,159,10,0,174,11,0,192,12,0,210,13,0,231,14,0,254
6,Bats,2,https://www.deckshop.pro/card/detail/Bats,Bats,1,32,160,2,35,175,3,38,190,4,42,210,5,46,230,6,51,255,7,56,280,8,61,305,9,67,335,10,74,370,11,81,405,12,89,445,13,98,490,14,108,540
7,FireSpirits,2,https://www.deckshop.pro/card/detail/FireSpirits,Fire Spirits,1,43,252,2,47,276,3,52,303,4,57,333,5,62,366,6,68,402,7,75,441,8,82,486,9,91,534,10,100,585,11,110,645,12,120,708,13,132,777,14,145,852
8,Snowball,2,https://www.deckshop.pro/card/detail/Snowball,Giant Snowball,1,0,75,2,0,82,3,0,90,4,0,99,5,0,109,6,0,120,7,0,132,8,0,144,9,0,159,10,0,174,11,0,192,12,0,210,13,0,231,14,0,254
9,IceGolem,2,https://www.deckshop.pro/card/detail/IceGolem,Ice Golem,1,0,0,2,0,0,3,565,40,4,621,44,5,683,48,6,751,53,7,824,58,8,904,64,9,994,70,10,1090,77,11,1197,84,12,1316,93,13,1446,102,14,1587,112
10,WallBreakers,2,https://www.deckshop.pro/card/detail/WallBreakers,Wall Breakers,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,207,602,7,227,662,8,250,728,9,275,800,10,302,878,11,331,962,12,364,1058,13,399,1160,14,438,1276
11,BarbBarrel,2,https://www.deckshop.pro/card/detail/BarbBarrel,Barbarian Barrel,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,140,7,0,154,8,0,169,9,0,186,10,0,204,11,0,224,12,0,246,13,0,270,14,0,296
12,Rage,2,https://www.deckshop.pro/card/detail/Rage,Rage,1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8,0.0,0.0,9,0.0,0.0,10,0.0,0.0,11,0.0,0.0,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0
13,Log,2,https://www.deckshop.pro/card/detail/Log,The Log,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,0,240,10,0,264,11,0,290,12,0,319,13,0,350,14,0,384
14,Archers,3,https://www.deckshop.pro/card/detail/Archers,Archers,1,119,84,2,130,92,3,143,100,4,158,110,5,173,122,6,190,134,7,209,146,8,229,162,9,252,178,10,277,194,11,304,214,12,334,236,13,367,258,14,403,284
15,Arrows,3,https://www.deckshop.pro/card/detail/Arrows,Arrows,1,0,115,2,0,126,3,0,139,4,0,152,5,0,167,6,0,184,7,0,202,8,0,221,9,0,243,10,0,267,11,0,294,12,0,323,13,0,355,14,0,389
16,Knight,3,https://www.deckshop.pro/card/detail/Knight,Knight,1,652,79,2,717,86,3,788,95,4,867,105,5,951,115,6,1043,126,7,1147,139,8,1258,152,9,1382,167,10,1519,184,11,1669,202,12,1832,221,13,2014,244,14,2210,267
17,Minions,3,https://www.deckshop.pro/card/detail/Minions,Minions,1,90,120,2,99,132,3,108,144,4,119,159,5,131,174,6,144,192,7,158,210,8,173,231,9,190,252,10,209,279,11,230,306,12,252,336,13,278,369,14,305,405
18,Bomber,3,https://www.deckshop.pro/card/detail/Bomber,Bomber,1,188,128,2,206,140,3,227,154,4,250,170,5,274,186,6,300,204,7,330,225,8,362,247,9,398,271,10,438,298,11,481,327,12,528,359,13,580,395,14,637,433
19,Cannon,3,https://www.deckshop.pro/card/detail/Cannon,Cannon,1,350,79,2,385,86,3,423,95,4,465,105,5,511,115,6,560,126,7,616,139,8,675,152,9,742,167,10,815,184,11,896,202,12,983,221,13,1081,244,14,1186,267
20,SkellyBarrel,3,https://www.deckshop.pro/card/detail/SkellyBarrel,Skeleton Barrel,1,300,52,2,330,57,3,363,62,4,399,69,5,438,75,6,480,83,7,528,91,8,579,100,9,636,110,10,699,121,11,768,133,12,843,146,13,927,160,14,1017,176
21,GobGang,3,https://www.deckshop.pro/card/detail/GobGang,Goblin Gang,1,114.0,205.0,2,124.0,223.0,3,136.0,244.0,4,151.0,270.0,5,165.0,296.0,6,181.0,327.0,7,200.0,358.0,8,219.0,392.0,9,240.0,431.0,10,265.0,475.0,11,291.0,522.0,12,318.0,574.0,13,351.0,631.0,14,384.0,693.0
22,Tombstone,3,https://www.deckshop.pro/card/detail/Tombstone,Tombstone,1,0,0,2,0,0,3,240,684,4,264,756,5,290,828,6,319,918,7,350,1008,8,384,1098,9,422,1206,10,462,1332,11,508,1458,12,558,1602,13,614,1764,14,0,0
23,MM,3,https://www.deckshop.pro/card/detail/MM,Mega Minion,1,0,0,2,0,0,3,395,147,4,434,161,5,477,177,6,525,195,7,576,214,8,632,235,9,695,258,10,762,283,11,837,311,12,920,342,13,1011,376,14,1109,413
24,DartGob,3,https://www.deckshop.pro/card/detail/DartGob,Dart Goblin,1,0,0,2,0,0,3,123,57,4,135,62,5,148,68,6,163,75,7,179,83,8,196,91,9,216,100,10,237,110,11,260,120,12,286,132,13,314,145,14,345,160
25,Earthquake,3,https://www.deckshop.pro/card/detail/Earthquake,Earthquake,1,0,0,2,0,0,3,105,420,4,114,456,5,126,504,6,138,552,7,153,612,8,168,672,9,183,732,10,201,804,11,222,888,12,243,972,13,267,1068,14,294,1176
26,ElixirGolem,3,https://www.deckshop.pro/card/detail/ElixirGolem,Elixir Golem,1,0,0,2,0,0,3,800,120,4,880,132,5,968,145,6,1064,159,7,1168,175,8,1280,192,9,1408,211,10,1544,231,11,1696,254,12,1864,279,13,2048,307,14,2248,337
27,Skarmy,3,https://www.deckshop.pro/card/detail/Skarmy,Skeleton Army,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,51,765,7,56,840,8,61,915,9,67,1005,10,74,1110,11,81,1215,12,89,1335,13,98,1470,14,108,1620
28,Barrel,3,https://www.deckshop.pro/card/detail/Barrel,Goblin Barrel,1,79,141,2,86,153,3,95,168,4,105,186,5,115,204,6,126,225,7,139,246,8,152,270,9,167,297,10,184,327,11,202,360,12,221,396,13,244,435,14,267,477
29,Tornado,3,https://www.deckshop.pro/card/detail/Tornado,Tornado,1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0,0.0,6,0.0,106.0,7,0.0,116.0,8,0.0,128.0,9,0.0,140.0,10,0.0,154.0,11,0.0,168.0,12,0.0,186.0,13,0.0,204.0,14,0.0,224.0
30,Guards,3,https://www.deckshop.pro/card/detail/Guards,Guards,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,150,68,7,165,74,8,181,82,9,199,90,10,219,99,11,240,108,12,264,119,13,289,131,14,318,144
31,Clone,3,https://www.deckshop.pro/card/detail/Clone,Clone,1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8,0.0,0.0,9,,,10,,,11,,,12,,,13,,,14,,
32,Miner,3,https://www.deckshop.pro/card/detail/Miner,Miner,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1000,160,10,1100,176,11,1210,193,12,1330,212,13,1460,233,14,1600,256
33,Princess,3,https://www.deckshop.pro/card/detail/Princess,Princess,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,216,140,10,237,154,11,261,169,12,287,186,13,315,204,14,345,224
34,IceWiz,3,https://www.deckshop.pro/card/detail/IceWiz,Ice Wizard,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,590,75,10,649,82,11,713,90,12,784,99,13,861,109,14,944,120
35,Bandit,3,https://www.deckshop.pro/card/detail/Bandit,Bandit,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,750,160,10,825,176,11,907,193,12,997,212,13,1095,233,14,1200,256
36,Fisherman,3,https://www.deckshop.pro/card/detail/Fisherman,Fisherman,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,800,160,10,880,176,11,968,193,12,1064,212,13,1168,233,14,1280,256
37,Ghost,3,https://www.deckshop.pro/card/detail/Ghost,Royal Ghost,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1000,216,10,1100,237,11,1210,261,12,1330,287,13,1460,315,14,1600,345
38,Mortar,4,https://www.deckshop.pro/card/detail/Mortar,Mortar,1,575,104,2,632,114,3,695,125,4,764,138,5,839,151,6,920,166,7,1012,183,8,1109,200,9,1219,220,10,1339,242,11,1472,266,12,1615,292,13,1776,321,14,1949,352
39,Tesla,4,https://www.deckshop.pro/card/detail/Tesla,Tesla,1,450,90,2,495,99,3,544,108,4,598,119,5,657,131,6,720,144,7,792,158,8,868,173,9,954,190,10,1048,209,11,1152,230,12,1264,252,13,1390,278,14,1525,305
40,Fireball,4,https://www.deckshop.pro/card/detail/Fireball,Fireball,1,0,0,2,0,0,3,325,114,4,357,125,5,393,138,6,432,152,7,474,166,8,520,182,9,572,201,10,627,220,11,689,242,12,757,265,13,832,292,14,913,320
41,MP,4,https://www.deckshop.pro/card/detail/MP,Mini P.E.K.K.A,1,0,0,2,0,0,3,642,340,4,706,374,5,776,411,6,853,452,7,937,496,8,1027,544,9,1129,598,10,1239,656,11,1361,720,12,1495,792,13,1643,870,14,1804,955
42,Musk,4,https://www.deckshop.pro/card/detail/Musk,Musketeer,1,0,0,2,0,0,3,340,103,4,374,113,5,411,124,6,452,136,7,496,150,8,544,164,9,598,181,10,656,198,11,720,218,12,792,239,13,870,263,14,955,289
43,Hog,4,https://www.deckshop.pro/card/detail/Hog,Hog Rider,1,0,0,2,0,0,3,800,150,4,880,165,5,968,181,6,1064,199,7,1168,219,8,1280,240,9,1408,264,10,1544,289,11,1696,318,12,1864,349,13,2048,384,14,2248,421
44,Valk,4,https://www.deckshop.pro/card/detail/Valk,Valkyrie,1,0,0,2,0,0,3,940,126,4,1034,138,5,1137,152,6,1250,167,7,1372,183,8,1504,201,9,1654,221,10,1814,243,11,1992,267,12,2190,293,13,2406,322,14,2641,354
45,Ram,4,https://www.deckshop.pro/card/detail/Ram,Battle Ram,1,0,0,2,0,0,3,430,125,4,473,137,5,520,151,6,571,166,7,627,182,8,688,200,9,756,220,10,829,241,11,911,265,12,1001,291,13,1100,320,14,1208,351
46,Furnace,4,https://www.deckshop.pro/card/detail/Furnace,Furnace,1,0,0,2,0,0,3,570,1212,4,627,1332,5,689,1464,6,758,1608,7,832,1764,8,912,1944,9,1003,2136,10,1100,2340,11,1208,2580,12,1328,2832,13,1459,3108,14,0,0
47,FlyingMachine,4,https://www.deckshop.pro/card/detail/FlyingMachine,Flying Machine,1,0,0,2,0,0,3,290,81,4,319,89,5,350,98,6,385,107,7,423,118,8,464,129,9,510,142,10,559,156,11,614,171,12,675,188,13,742,207,14,814,227
48,BombTower,4,https://www.deckshop.pro/card/detail/BombTower,Bomb Tower,1,0,0,2,0,0,3,640,105,4,704,115,5,774,127,6,851,139,7,934,153,8,1024,168,9,1126,184,10,1235,202,11,1356,222,12,1491,244,13,1638,268,14,1798,295
49,Zappies,4,https://www.deckshop.pro/card/detail/Zappies,Zappies,1,0,0,2,0,0,3,250,120,4,275,132,5,302,144,6,332,159,7,365,174,8,400,192,9,440,210,10,482,231,11,530,252,12,582,279,13,640,306,14,702,336
50,GoblinCage,4,https://www.deckshop.pro/card/detail/GoblinCage,Goblin Cage,1,0,0,2,0,0,3,455,150,4,500,165,5,550,181,6,605,199,7,664,219,8,728,240,9,800,264,10,878,289,11,964,318,12,1060,349,13,1164,384,14,0,0
51,BabyD,4,https://www.deckshop.pro/card/detail/BabyD,Baby Dragon,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,800,100,7,880,110,8,968,121,9,1064,133,10,1168,146,11,1280,160,12,1408,176,13,1544,193,14,1696,212
52,Hunter,4,https://www.deckshop.pro/card/detail/Hunter,Hunter,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,524,530,7,576,583,8,634,641,9,696,704,10,765,773,11,838,848,12,922,932,13,1011,1022,14,1110,1123
53,Poison,4,https://www.deckshop.pro/card/detail/Poison,Poison,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,456,160,7,496,176,8,544,192,9,600,216,10,664,240,11,728,256,12,800,280,13,880,312,14,960,336
54,DarkPrince,4,https://www.deckshop.pro/card/detail/DarkPrince,Dark Prince,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,150,775,7,165,852,8,181,937,9,199,1030,10,219,1131,11,240,1240,12,264,1364,13,289,1495,14,318,1643
55,Freeze,4,https://www.deckshop.pro/card/detail/Freeze,Freeze,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,72,26,7,79,28,8,87,31,9,95,34,10,105,37,11,115,41,12,126,45,13,138,49,14,152,54
56,MagicArcher,4,https://www.deckshop.pro/card/detail/MagicArcher,Magic Archer,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,490,111,10,539,122,11,592,134,12,651,147,13,715,162,14,784,177
57,NightWitch,4,https://www.deckshop.pro/card/detail/NightWitch,Night Witch,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,750,260,10,825,286,11,907,314,12,997,345,13,1095,379,14,1200,416
58,InfernoD,4,https://www.deckshop.pro/card/detail/InfernoD,Inferno Dragon,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1070,30,10,1177,33,11,1294,36,12,1423,39,13,1562,43,14,1712,48
59,Lumber,4,https://www.deckshop.pro/card/detail/Lumber,Lumberjack,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1060,200,10,1166,220,11,1282,242,12,1409,266,13,1547,292,14,1696,320
60,eWiz,4,https://www.deckshop.pro/card/detail/eWiz,Electro Wizard,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,590,192,10,649,211,11,713,232,12,784,255,13,861,280,14,944,307
61,Barbs,5,https://www.deckshop.pro/card/detail/Barbs,Barbarians,1,262,375,2,288,410,3,317,450,4,348,495,5,382,545,6,419,600,7,461,660,8,505,720,9,555,795,10,610,870,11,670,960,12,736,1050,13,809,1155,14,888,1270
62,Horde,5,https://www.deckshop.pro/card/detail/Horde,Minion Horde,1,90,240,2,99,264,3,108,288,4,119,318,5,131,348,6,144,384,7,158,420,8,173,462,9,190,504,10,209,558,11,230,612,12,252,672,13,278,738,14,305,810
63,Rascals,5,https://www.deckshop.pro/card/detail/Rascals,Rascals,1,919,156,2,1010,171,3,1111,186,4,1220,207,5,1339,225,6,1470,249,7,1616,273,8,1771,300,9,1947,330,10,2139,363,11,2352,399,12,2581,438,13,2839,480,14,0,0
64,Giant,5,https://www.deckshop.pro/card/detail/Giant,Giant,1,0,0,2,0,0,3,1861,120,4,2047,132,5,2251,145,6,2475,159,7,2717,175,8,2977,192,9,3275,211,10,3591,231,11,3945,254,12,4336,279,13,4764,307,14,5229,337
65,GobHut,5,https://www.deckshop.pro/card/detail/GobHut,Goblin Hut,1,0,0,2,0,0,3,735,242,4,808,264,5,889,297,6,977,330,7,1073,352,8,1176,385,9,1293,429,10,1418,473,11,1558,517,12,1712,572,13,1881,627,14,0,0
66,Inferno,5,https://www.deckshop.pro/card/detail/Inferno,Inferno Tower,1,0,0,2,0,0,3,825,20,4,907,22,5,998,24,6,1097,26,7,1204,29,8,1320,32,9,1452,35,10,1592,38,11,1749,42,12,1922,46,13,2112,51,14,2318,56
67,Wiz,5,https://www.deckshop.pro/card/detail/Wiz,Wizard,1,0,0,2,0,0,3,340,132,4,374,145,5,411,159,6,452,175,7,496,192,8,544,211,9,598,232,10,656,254,11,720,279,12,792,307,13,870,337,14,955,370
68,RoyalHogs,5,https://www.deckshop.pro/card/detail/RoyalHogs,Royal Hogs,1,0,0,2,0,0,3,395,128,4,434,140,5,477,152,6,525,168,7,576,184,8,632,204,9,695,224,10,762,244,11,837,268,12,920,296,13,1011,324,14,1109,356
69,Prince,5,https://www.deckshop.pro/card/detail/Prince,Prince,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1215,245,7,1336,269,8,1470,296,9,1615,325,10,1773,357,11,1944,392,12,2138,431,13,2344,472,14,2575,519
70,Witch,5,https://www.deckshop.pro/card/detail/Witch,Witch,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,524,166,7,576,182,8,634,200,9,696,220,10,765,242,11,838,265,12,922,292,13,1011,320,14,1110,351
71,Balloon,5,https://www.deckshop.pro/card/detail/Balloon,Balloon,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1050,600,7,1155,660,8,1270,726,9,1396,798,10,1533,876,11,1680,960,12,1848,1056,13,2026,1158,14,2226,1272
72,Bowler,5,https://www.deckshop.pro/card/detail/Bowler,Bowler,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1200,180,7,1320,198,8,1452,217,9,1596,239,10,1752,262,11,1920,288,12,2112,316,13,2316,347,14,2544,381
73,CannonCart,5,https://www.deckshop.pro/card/detail/CannonCart,Cannon Cart,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,558,558,7,613,613,8,675,675,9,742,742,10,814,814,11,892,892,12,982,982,13,1076,1076,14,1182,1182
74,eDragon,5,https://www.deckshop.pro/card/detail/eDragon,Electro Dragon,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,594,120,7,653,132,8,718,145,9,790,159,10,867,175,11,950,192,12,1045,211,13,1146,231,14,1259,254
75,Exe,5,https://www.deckshop.pro/card/detail/Exe,Executioner,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,722,386,7,794,424,8,873,467,9,960,513,10,1054,563,11,1155,617,12,1270,679,13,1393,744,14,1530,818
76,RamRider,5,https://www.deckshop.pro/card/detail/RamRider,Ram Rider,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1461,220,10,1607,242,11,1767,266,12,1943,292,13,2133,321,14,2337,352
77,Graveyard,5,https://www.deckshop.pro/card/detail/Graveyard,Graveyard,1,171.0,512.0,2,187.0,560.0,3,203.0,608.0,4,224.0,672.0,5,245.0,736.0,6,272.0,816.0,7,299.0,896.0,8,325.0,976.0,9,357.0,1072.0,10,395.0,1184.0,11,432.0,1296.0,12,475.0,1424.0,13,523.0,1568.0,14,576.0,1728.0
78,RG,6,https://www.deckshop.pro/card/detail/RG,Royal Giant,1,1200,120,2,1320,132,3,1452,145,4,1596,159,5,1752,175,6,1920,192,7,2112,211,8,2316,231,9,2544,254,10,2796,279,11,3072,307,12,3372,337,13,3708,370,14,4068,406
79,eBarbs,6,https://www.deckshop.pro/card/detail/eBarbs,Elite Barbarians,1,458,284,2,503,312,3,554,342,4,609,376,5,668,414,6,732,454,7,806,498,8,883,548,9,970,602,10,1067,660,11,1172,726,12,1286,798,13,1415,876,14,1552,962
80,Rocket,6,https://www.deckshop.pro/card/detail/Rocket,Rocket,1,0,0,2,0,0,3,0,700,4,0,770,5,0,847,6,0,931,7,0,1022,8,0,1120,9,0,1232,10,0,1351,11,0,1484,12,0,1631,13,0,1792,14,0,1967
81,Pump,6,https://www.deckshop.pro/card/detail/Pump,Elixir Collector,1,0,0,2,0,0,3,505,0.0,4,555,0.0,5,611,0.0,6,671,0.0,7,737,0.0,8,808,0.0,9,888,0.0,10,974,0.0,11,1070,0.0,12,1176,0.0,13,1292,0.0,14,0,0
82,GiantSkelly,6,https://www.deckshop.pro/card/detail/GiantSkelly,Giant Skeleton,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,2100,130,7,2310,143,8,2541,157,9,2793,172,10,3066,189,11,3360,208,12,3696,228,13,4053,250,14,4452,275
83,Lightning,6,https://www.deckshop.pro/card/detail/Lightning,Lightning,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,660,7,0,726,8,0,798,9,0,877,10,0,963,11,0,1056,12,0,1161,13,0,1273,14,0,1399
84,XBow,6,https://www.deckshop.pro/card/detail/XBow,X-Bow,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1040,20,7,1144,22,8,1258,24,9,1383,26,10,1518,29,11,1664,32,12,1830,35,13,2007,38,14,2204,42
85,GobGiant,6,https://www.deckshop.pro/card/detail/GobGiant,Goblin Giant,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1967,110,7,2163,121,8,2380,133,9,2616,146,10,2871,160,11,3147,176,12,3461,193,13,3796,212,14,4170,233
86,Sparky,6,https://www.deckshop.pro/card/detail/Sparky,Sparky,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,1200,1100,10,1320,1210,11,1452,1331,12,1596,1463,13,1752,1606,14,1920,1760
87,RoyalRecruits,7,https://www.deckshop.pro/card/detail/RoyalRecruits,Royal Recruits,1,94,208,2,103,228,3,113,251,4,125,276,5,137,303,6,150,332,7,165,366,8,181,401,9,199,440,10,219,484,11,240,532,12,264,584,13,290,642,14,318,705
88,BarbHut,7,https://www.deckshop.pro/card/detail/BarbHut,Barbarian Hut,1,0,0,2,0,0,3,1025,900,4,1128,990,5,1240,1090,6,1363,1200,7,1496,1320,8,1640,1440,9,1804,1590,10,1978,1740,11,2173,1920,12,2390,2100,13,2629,2310,14,0,0
89,PEKKA,7,https://www.deckshop.pro/card/detail/PEKKA,P.E.K.K.A,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,2350,510,7,2585,561,8,2843,617,9,3125,678,10,3431,744,11,3760,816,12,4136,897,13,4535,984,14,4982,1081
90,Lava,7,https://www.deckshop.pro/card/detail/Lava,Lava Hound,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,3150,45,10,3465,49,11,3811,54,12,4189,59,13,4599,65,14,5040,72
91,MegaKnight,7,https://www.deckshop.pro/card/detail/MegaKnight,Mega Knight,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,3300,222,10,3630,244,11,3993,268,12,4389,295,13,4818,324,14,5280,355
92,Golem,8,https://www.deckshop.pro/card/detail/Golem,Golem,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,3200,195,7,3520,214,8,3872,235,9,4256,259,10,4672,284,11,5120,312,12,5632,343,13,6176,376,14,6784,413
93,3M,9,https://www.deckshop.pro/card/detail/3M,Three Musketeers,1,0,0,2,0,0,3,340,309,4,374,339,5,411,372,6,452,408,7,496,450,8,544,492,9,598,543,10,656,594,11,720,654,12,792,717,13,870,789,14,955,867
94,Mirror,0,-,Mirror,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,,
